1.9271 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.0402 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [2560, 1440]. Using actual size
7.8233 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000020049A1CDA0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000020049A03240>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.8233 	EXP 	window1: mouseVisible = True
7.8234 	EXP 	window1: recordFrameIntervals = False
7.8924 	EXP 	window1: recordFrameIntervals = True
7.9689 	EXP 	window1: recordFrameIntervals = False
8.6177 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.6269 	EXP 	Created circle = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='circle', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
8.6288 	EXP 	Created mask = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='mask', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...))
8.7231 	EXP 	text: autoDraw = True
9.0675 	DATA 	Mouse: Left button down, pos=(1949,518)
9.1661 	DATA 	Mouse:  Left button up, pos=(1949,518)
10.7051 	EXP 	Created sequence: random, trialTypes=1, nReps=40, seed=None
10.7054 	EXP 	New trial (rep=0, index=0): None
10.7156 	DATA 	Keypress: equal
10.7185 	EXP 	text: autoDraw = False
10.7185 	EXP 	circle: autoDraw = True
10.7394 	EXP 	circle: autoDraw = False
10.8018 	EXP 	mask: autoDraw = True
10.8227 	EXP 	mask: autoDraw = False
15.2583 	EXP 	New trial (rep=1, index=0): None
15.2606 	DATA 	Keypress: 1
15.2672 	EXP 	circle: autoDraw = False
15.2672 	EXP 	mask: autoDraw = False
15.2672 	EXP 	circle: autoDraw = True
15.2880 	EXP 	circle: autoDraw = False
15.3574 	EXP 	mask: autoDraw = True
15.3783 	EXP 	mask: autoDraw = False
17.1880 	DATA 	Keypress: 2
17.1960 	EXP 	New trial (rep=2, index=0): None
17.2047 	EXP 	circle: autoDraw = False
17.2047 	EXP 	mask: autoDraw = False
17.2047 	EXP 	circle: autoDraw = True
17.2256 	EXP 	circle: autoDraw = False
