trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,image_2.started,image_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,image_3.started,image_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_4.started,image_4.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,10.854767700002412,None,equal,3.596000199999253,10.854767700002412,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
,,,,,,,,,,14.461790000001201,None,q,2.2348611999987043,14.461790000001201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
,,,,,,,,,,,,,,,,16.704827800000203,None,e,1.1401693000007072,16.704827800000203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
,,,,,,,,,,,,,,,,,,,,,,17.86460850000003,None,d,1.0622667999996338,17.86460850000003,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.940978900005575,None,a,1.2390367000043625,18.940978900005575,None,,,,,,,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.197949700006575,None,equal,3.198581800003012,21.184106500004418,None,,,,,,,,,,,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,2.6158622999937506,24.593779700000596,None,24.399401700000453,25.39934620000713,25.392477600005805,25.427158400001645,25.572968100001162,25.607697700004792,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,2.1086237000054098,27.42023290000361,None,27.23274130000209,28.23276220000116,28.218872800003737,28.253596700000344,28.364645000001474,28.399384400006966,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.8333053999958793,29.739687400004186,None,29.54523860000336,30.545247900001414,30.538287900002615,30.57299530000455,30.830986400003894,30.86469410000427,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.9422648999970988,31.774428400000033,None,31.58691880000697,32.58690790000401,32.57303170000523,32.60775820000708,32.83693050000147,32.871677400005865,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,2.135996500001056,33.92722570000478,None,33.73277000000235,34.7327837000048,34.725835400000506,34.76053030000185,34.989702800005034,35.024449900003674,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.6502437999952235,36.27447160000156,None,36.08000600000378,37.08018470000388,37.07308440000634,37.10779810000531,37.350901200006774,37.385594300001685,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.657931699999608,38.13556690000405,None,37.941129000006185,38.94115990000137,38.93421570000646,38.968985400002566,39.15644680000696,39.191184900002554,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.4670489000054658,40.00364070000069,None,39.809214200002316,40.809332700002415,40.80243880000489,40.83702020000055,41.052349700003106,41.08698240000376,1,001,2023_Apr_12_1547,meta-mask,2021.2.3,143.72193830413696,
