trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,participant,date,expName,psychopyVersion,frameRate,
,,,,11.953510100007406,None,equal,3.8836216000054264,11.953510100007406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
,,,,,,,,,,15.862751300010132,None,17.24668680000468,None,17.530162299997755,None,18.113812199997483,None,18.297175600004266,None,equal,1.9130244999978459,19.280892900002073,None,,,,,,,,,,,,,,,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,q,1.5021648000110872,21.932047900001635,None,21.732451800009585,22.73234339999908,22.73234339999908,22.76569230000314,22.815750599998864,22.84908159999759,0,imgs/1_1.png,imgs/1_2.png,0.06398439442076842,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,d,1.5981173000036506,23.766170300004887,None,23.582771500005038,24.583148899997468,24.56651230000716,24.59990280000784,24.63334080000641,24.666545200001565,1,imgs/4_1.png,imgs/4_2.png,0.03125158585767093,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,d,1.8288806000055047,26.05047060000652,None,25.867434100000537,26.86747650000325,26.85079620000033,26.884165499999654,27.034240300010424,27.067596399996546,2,imgs/3_1.png,imgs/3_2.png,0.16377714417536354,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,e,1.6728124999935972,28.618280100010452,None,28.435150600009365,29.435246200009715,29.418560600010096,29.45192940000561,29.585341800004244,29.618728900008136,3,imgs/2_1.png,imgs/2_2.png,0.14302464562064549,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,e,1.4030610000045272,30.61913820001064,None,30.4360153000016,31.43612209999992,31.41944680000597,31.452773400000297,31.602865100008785,31.63625769999635,4,imgs/2_1.png,imgs/2_2.png,0.14987811436647697,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,a,1.5788289999909466,32.35318410000764,None,32.16973500000313,33.17018200000166,33.1535198000056,33.18685870000627,33.33697499999835,33.37029040000925,5,imgs/4_1.png,imgs/4_2.png,0.16272393527373455,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,a,4.774174000005587,34.25397210000665,None,34.070629200010444,35.07100619999983,35.054332100000465,35.0877221999981,35.187735400002566,35.22108400000434,6,imgs/1_1.png,imgs/1_2.png,0.1080156818415178,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,d,1.9551850999996532,39.72293210000498,None,39.539990700010094,40.54004310000164,40.523318400009884,40.556643900010386,40.673374100006185,40.7068397999974,7,imgs/3_1.png,imgs/3_2.png,0.12668600331199192,1,2023_Apr_12_1714,meta-mask,2021.2.3,59.97023077766166,
