trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,polygon.started,polygon.stopped,stim.started,stim.stopped,mask.started,mask.stopped,currTrial,imgName,mskName,soa,text_2.started,text_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,17.73142910000024,None,equal,2.247430899999017,17.73142910000024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
,,,,,,,,,,20.007949600001666,None,21.658689500000037,None,21.892087700000047,None,22.175596600000063,None,22.358992299999954,None,equal,0.8809540000002016,22.358992299999954,None,,,,,,,,,,,,,,,,,,,,,,,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.358992299999954,22.37567780000063,22.358992299999954,22.37567780000063,22.358992299999954,22.37567780000063,22.358992299999954,22.37567780000063,q,1.6237295999999333,23.97633120000137,None,23.793675200000507,24.793311400000675,24.777030900000682,24.810048900000766,24.843352500000037,24.87671500000033,0,imgs/4_1.png,imgs/4_2.png,0.031068267010125182,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.3861894000001485,25.943835700001728,None,25.743941300001097,26.74420910000117,26.727511300001424,26.76091020000058,26.87756090000039,26.910940600000686,1,imgs/1_1.png,imgs/1_2.png,0.10452793706473795,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.451423499998782,27.661365300000398,None,27.47781860000032,28.478283200000078,28.461671700000807,28.49492989999999,28.661815200001,28.69502310000098,2,imgs/1_1.png,imgs/1_2.png,0.17534064647386632,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.60713289999876,29.42875020000065,None,29.245308800000203,30.245644700000412,30.229053800001566,30.262315600000875,30.32903660000011,30.362419400000363,3,imgs/4_1.png,imgs/4_2.png,0.0673257363040817,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1.4190062999987276,31.362841400001344,None,31.17946810000103,32.17984300000171,32.16326850000041,32.19652710000082,32.263243800000055,32.2965322,4,imgs/4_1.png,imgs/4_2.png,0.06544787935785587,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.6972437999993417,33.11355370000092,None,32.913890900001206,33.91398840000147,33.89725820000058,33.93059270000049,34.08063519999996,34.1140163,5,imgs/2_1.png,imgs/2_2.png,0.14165567114844624,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.346889899999951,35.13112690000162,None,34.94771870000113,35.94816040000114,35.931457700000465,35.96492600000056,35.99822910000148,36.031624200000806,6,imgs/1_1.png,imgs/1_2.png,0.04090942484767954,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,1.3824831999991147,36.79850250000163,None,36.615367700000206,37.61551270000018,37.598802700000306,37.6321908000009,37.71557440000106,37.748951400000806,7,imgs/2_1.png,imgs/2_2.png,0.0925399704127094,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1.482647499999075,38.49922500000139,None,38.31585470000027,39.316254900000786,39.299559600000066,39.33290870000019,39.516387400000895,39.54966550000063,8,imgs/1_1.png,imgs/1_2.png,0.1843092751007847,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1.814439100000527,40.683471800000916,None,40.48377040000014,41.48388200000045,41.48388200000045,41.51722660000087,41.58386910000081,41.617293500001324,9,imgs/3_1.png,imgs/3_2.png,0.07406408966295583,,,1,2023_Apr_12_2057,meta-mask,2021.2.3,59.99894401818414,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.51760900000045,None,,,,,,
