imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,22.650355800000398,None,22.650355800000398,None,22.650355800000398,None,22.650355800000398,None,22.650355800000398,None,1,0.8103750000000218,22.650355800000398,None,,,,,,,,,,,,,,,,,,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,0,0,0,0,,,,,,,,,,,,,,,25.935095800000454,None,33.321601000000555,34.171973000000435,0,imgs/2_stim.png,0.10286630351281613,0.8496678464812408,0.23058909859367066,34.38869470000009,34.42202970000017,34.50545340000008,34.53880440000012,q,1.3394374999998035,33.504968199999894,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,34.888916800000516,35.622553700000026,1,imgs/3_stim.png,0.11711996898701409,0.7249934465816585,0.23973247494441025,35.83938990000024,35.872722900000554,35.97269680000045,36.006092500000705,d,1.3572712000004685,35.0723723000001,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,36.47291949999999,36.98982590000014,2,imgs/2_stim.png,0.11966575380445249,0.5127408204022965,0.35928558467518146,37.323298799999975,37.3566593000005,37.45667290000074,37.49002110000038,q,0.9742687999996633,36.65639570000076,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,37.673510700000406,38.49045389999992,3,imgs/4_stim.png,0.029619853367356085,0.8020621824913369,0.01367802896719117,38.473807500000476,38.50712180000028,38.52382420000049,38.557199599999876,e,1.080724100000225,37.85685540000031,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,38.974050499999976,39.74098950000007,4,imgs/4_stim.png,0.08350511677217565,0.7556888603594301,0.3995931324827196,40.10786890000054,40.141195600000174,40.207871700000396,40.241209400000116,e,1.2720595999999205,39.157444500000565,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,40.47465230000034,41.44176020000032,5,imgs/1_stim.png,0.11649845263021946,0.9611315512542522,0.03006552329131784,41.44176020000032,41.475112300000546,41.575133900000765,41.608450300000186,a,1.5822275000000445,40.65808509999988,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,42.27541090000068,42.875782699999945,6,imgs/3_stim.png,0.10516240599698755,0.5873352873575821,0.3979869311466726,43.242496000000756,43.27588180000021,43.35920530000021,43.39260230000036,d,1.1839126000004399,42.45882410000013,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,43.67600829999992,44.64308890000029,7,imgs/4_stim.png,0.0572372881594719,0.9559338470306366,0.2013218533866123,44.80989529999988,44.84321810000074,44.89322930000071,44.926559200000156,e,1.2761917999996513,43.85941189999994,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,45.17667260000053,None,8,imgs/1_stim.png,0.027901497913105845,0.523542341254746,0.3274556311748933,None,None,None,None,e,0.2834160000002157,45.36005850000038,None,,,natalie,001,2023_Apr_30_2121,meta-mask2,2021.2.3,59.915507151677915,
