imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,19.836689200000023,None,20.800555400000007,21.65037929999994,0,imgs/4_stim.png,0.038206117789138835,0.8427839317804346,0.3812242452017515,22.000544200000036,22.03385639999999,22.067094099999963,22.10049700000002,e,1.7910676000000194,20.983372300000042,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,1,0,1,0,,,22.817532099999994,23.65107599999999,1,imgs/4_stim.png,0.04412214319373682,0.8333957310799687,0.12399603088766514,23.767916499999956,23.801804400000037,23.83463770000003,23.86788530000001,e,1.8244185999999445,23.00100950000001,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,2,0,2,0,,,24.868365100000005,25.80301380000003,2,imgs/1_stim.png,0.04344890452819071,0.9215527354760266,0.20223865073253872,25.985584300000028,26.018884800000023,26.035601100000008,26.06903890000001,q,2.1165940999999293,25.05183020000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,3,0,3,0,,,27.203164600000036,27.886220099999946,3,imgs/1_stim.png,0.04737672723186928,0.6805405950945939,0.27955731051546723,28.153217499999982,28.18638169999997,28.219697999999994,28.253312800000003,a,1.7354705000000195,27.386157600000047,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,4,0,4,0,,,29.153496399999995,29.98728589999996,4,imgs/3_stim.png,0.04834266802083054,0.8324775591213613,0.4158656715482092,30.387427499999944,30.420873899999947,30.454704900000024,30.487502999999947,d,1.8095620999999937,29.33699200000001,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,5,0,5,0,,,31.187790800000016,32.07156080000004,5,imgs/1_stim.png,0.08494243596965283,0.8788538263619459,0.03283721853621713,32.088506499999994,32.12152370000001,32.18821389999994,32.22142250000002,a,1.383182399999896,31.37122050000005,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,6,0,6,0,,,32.788437199999976,33.522113099999956,6,imgs/2_stim.png,0.0590518335536783,0.7214860064390032,0.3418578003667742,33.83894359999999,33.87231350000002,33.92230159999997,33.955557699999986,q,1.3455790000000434,32.971806000000015,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,7,0,7,0,,,34.35570489999998,35.072799499999974,7,imgs/3_stim.png,0.08801420596295645,0.7155877103140754,0.23373322910233002,35.28960170000005,35.32297140000003,35.406313100000034,35.43946970000002,d,1.2382655000000113,34.53923080000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,8,0,8,0,,,35.82300350000003,36.62346949999994,8,imgs/4_stim.png,0.09106491863506799,0.7989914472378516,0.38469429110032366,36.990301199999976,37.02364090000003,37.106993699999975,37.14034030000005,e,1.3467194999999492,36.00657530000001,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,9,0,9,0,,,37.39047849999997,38.390808900000025,9,imgs/2_stim.png,0.07571567606328895,0.9912694527574251,0.34584708893596333,38.707667000000015,38.74103649999995,38.80761599999994,38.84110720000001,q,1.5775949999999739,37.57377810000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,10,0,10,0,,,39.191234699999995,39.724811000000045,10,imgs/3_stim.png,0.09186095941882835,0.5256216415197845,0.21348678816930566,39.90824090000001,39.9414299,40.025001599999996,40.05827179999994,d,1.0675317000000177,39.37462900000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,11,0,11,0,,,40.475654299999974,41.09194030000003,11,imgs/2_stim.png,0.051756136021450294,0.613276943195823,0.24613885645604,41.32548269999995,41.35883290000004,41.392164399999956,41.42579490000003,q,1.1959375000000136,40.658537600000045,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,12,0,12,0,,,41.892419700000005,42.509313399999996,12,imgs/3_stim.png,0.09599218705273634,0.6012637166946497,0.27391665083472966,42.75942620000001,42.79283639999994,42.875991200000044,42.90949169999999,d,1.1444010999999819,42.07600189999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,13,0,13,0,,,43.25951829999997,44.11003040000003,13,imgs/1_stim.png,0.09310079165595483,0.8484201013392569,0.07369937866651372,44.16005180000002,44.1933573,44.27677879999999,44.31005989999994,a,1.1902359999999135,43.44292740000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,14,0,14,0,,,44.676945599999954,45.6279184,14,imgs/4_stim.png,0.09573293359199819,0.9380529639337511,0.19873161912727455,45.79408060000003,45.8277233,45.9113595,45.94559119999997,e,1.3508003999999119,44.86034529999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,15,0,15,0,,,46.24429999999995,46.94460579999998,15,imgs/1_stim.png,0.07031393304237858,0.6886377473691644,0.4315875681025404,47.34473270000001,47.37807069999997,47.44474769999999,47.478046800000016,a,1.4056888000000072,46.42771689999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,16,0,16,0,,,47.87828939999997,48.67844709999997,16,imgs/4_stim.png,0.08247280716955072,0.7940337816395153,0.2706178365583907,48.928759000000014,48.962008200000014,49.02942610000002,49.06223990000001,e,1.2293995999999652,48.06174280000005,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,17,0,17,0,,,49.32869270000003,50.11292260000005,17,imgs/2_stim.png,0.04224255252420446,0.7801940468722072,0.23073369456425197,50.329312200000004,50.362816599999974,50.39607549999994,50.42935709999995,q,1.228060400000004,49.51233239999999,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,18,0,18,0,,,50.779578300000026,51.49668410000004,18,imgs/2_stim.png,0.04737084300136346,0.7040238283942837,0.17489590806682404,51.64654900000005,51.67992770000001,51.71329909999997,51.74652860000003,q,1.1495424999999386,50.96298009999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,19,0,19,0,,,52.146883600000024,52.76354760000004,19,imgs/1_stim.png,0.09316326884473161,0.6100374465382528,0.2996324782689879,53.047144600000024,53.080591700000014,53.1473264,53.18069349999996,a,1.1961857999999665,52.33019330000002,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,20,0,20,0,,,53.56407279999996,54.21415809999996,20,imgs/1_stim.png,0.07650838534019702,0.6446791414462814,0.3555659834184528,54.54782609999995,54.581150200000025,54.64791530000002,54.681223899999964,a,1.259968200000003,53.74744020000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,21,0,21,0,,,55.04800750000004,55.914932799999974,21,imgs/1_stim.png,0.06261890364869549,0.8571485872576072,0.17914088182370808,56.06532979999997,56.098512899999946,56.14915480000002,56.18173030000003,a,1.4829701999999543,55.23144639999998,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,22,0,22,0,,,56.74879060000001,57.74935370000003,22,imgs/2_stim.png,0.060135807195546925,0.9976568662841958,0.10479296455213938,57.83294509999996,57.86593349999998,57.915855599999986,57.949149300000045,q,1.3602445000000216,56.93216169999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,23,0,23,0,,,58.33294169999999,58.9330903,23,imgs/3_stim.png,0.06605957010115832,0.5995124267270451,0.08443684756083125,58.99970499999995,59.033147299999996,59.08311739999999,59.116461699999945,d,1.0971317999999428,58.51620649999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,24,0,24,0,,,59.65026260000002,60.200244999999995,24,imgs/1_stim.png,0.08703445197856623,0.5410324914694644,0.4471622298765712,60.6176696,60.65047049999998,60.73430229999997,60.76707220000003,a,1.2319494999999279,59.83342830000004,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,25,0,25,0,,,61.100679000000014,61.70090619999996,25,imgs/2_stim.png,0.033139700082765254,0.5895496051830834,0.08241721865138008,61.750944499999946,61.7845509,61.81793300000004,61.850954,q,1.2572814999999764,61.28394860000003,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,26,0,26,0,,,62.584623299999976,63.218204300000025,26,imgs/1_stim.png,0.08190834110946017,0.627110377530246,0.01434342759124596,63.218204300000025,63.25148139999999,63.31828150000001,63.35150420000002,a,0.8533497999999327,62.76801679999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,27,0,27,0,,,63.66831000000002,64.48540560000004,27,imgs/2_stim.png,0.030894551532595627,0.8090840344453532,0.3185598596150935,64.78554940000004,64.81892909999999,64.83557789999998,64.86881640000001,q,1.3546390000000201,63.85170029999995,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,28,0,28,0,,,65.25228660000005,65.76915299999996,28,imgs/1_stim.png,0.08647920950667033,0.5137344078879124,0.1538899055217316,65.90255649999995,65.93588269999998,66.01928439999995,66.05264929999998,a,0.8726394999999911,65.43667479999999,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,29,0,29,0,,,66.35271950000003,67.28647899999999,29,imgs/1_stim.png,0.09749708603067656,0.9301997027060289,0.3679414430726246,67.63664029999995,67.6699453,67.75330789999998,67.786651,a,1.5142270000000053,66.5361752,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,30,0,30,0,,,68.08678269999996,68.88717559999998,30,imgs/3_stim.png,0.050799483427719117,0.7875034193442947,0.02485635240142131,68.88717559999998,68.92047249999996,68.9538556,68.98716309999998,a,1.1802611000000525,68.2701935,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
,,,,31,0,31,0,,,69.48736669999994,70.43783199999996,31,imgs/3_stim.png,0.08428102159747419,0.9439424464301722,0.11206526999429889,70.52114670000003,70.55455929999994,70.63790389999997,70.67124230000002,d,1.27950450000003,69.67078919999994,None,,,stephen4,001,2023_Apr_30_1950,meta-mask2,2021.2.3,60.07452846002559,
