imageTest.thisRepN,imageTest.thisTrialN,imageTest.thisN,imageTest.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_5.started,image_5.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,key_resp_7.keys,key_resp_7.rt,polygon_6.started,polygon_6.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,currTrial,imgName,soa,fixTime,jitter,stim.started,stim.stopped,mask.started,mask.stopped,mainTrial_response.keys,mainTrial_response.rt,mainTrial_response.started,mainTrial_response.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,12.190143000000717,None,12.190143000000717,None,12.190143000000717,None,12.190143000000717,None,12.190143000000717,None,1,1.4444965000002412,12.190143000000717,None,,,,,,,,,,,,,,,,,,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,0,0,0,0,,,,,,,,,,,,,,,15.458122500000172,None,16.825389800000266,17.358945200000562,0,imgs/4_stim.png,0.06669304350818546,0.524828001382529,0.44704957388488226,17.7758115000006,17.809128000000783,17.85919770000055,17.8925418000008,e,1.2955222000000504,17.008810000000267,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,18.342710300000363,19.159736200000225,1,imgs/2_stim.png,0.044257686674066585,0.8038029460379638,0.46446481215658747,19.59324689999994,19.626614300000256,19.659960700000738,19.693403799999942,q,1.44817890000013,18.52610890000051,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,20.01009620000059,20.59370730000046,2,imgs/1_stim.png,0.05473220009362842,0.5733417587938907,0.2859936898905744,20.84385580000071,20.877146900000298,20.927198600000338,20.96055510000042,a,1.0856923999999708,20.193535200000042,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,21.327297499999986,22.311047200000758,3,imgs/4_stim.png,0.04151368049715973,0.9696437743222938,0.23214481758194438,22.51115960000061,22.5444935000005,22.5778435000002,22.611187900000004,e,1.5443632999995316,21.510747700000138,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,23.0948171,23.661669699999948,4,imgs/1_stim.png,0.040427006415640517,0.5618659722740826,0.2278006023417688,23.86175430000003,23.895124399999986,23.928420800000822,23.96175519999997,a,1.084751000000324,23.278186900000037,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,24.395313400000305,24.912214200000562,5,imgs/3_stim.png,0.09844661933306362,0.5089866714103333,0.059191231430019364,24.945567700000538,24.978894000000764,25.062280699999974,25.09566470000027,d,0.9714235999999801,24.578734000000622,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,25.59582230000069,26.112796500000513,6,imgs/1_stim.png,0.0360993351283508,0.5146376209391279,0.11519075851874278,26.212784700000157,26.246172500000284,26.262808700000278,26.29615090000061,q,0.974966100000529,25.779259100000672,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,26.796350300000086,27.313326899999993,7,imgs/1_stim.png,0.09341255251360643,0.5144248521709295,0.21152793353123212,27.49664389999998,27.529955200000586,27.61335720000079,27.646720200000345,a,1.006558799999766,26.979775100000552,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,28.03026310000041,29.013979300000756,8,imgs/1_stim.png,0.0344307618604236,0.9732980896906169,0.06143899022636723,29.047289900000578,29.080637200000638,29.09737270000005,29.130687300000318,a,1.497708199999579,28.213613500000065,None,,,stephen6,001,2023_Apr_30_2057,meta-mask2,2021.2.3,59.95372771307742,
